Opava	53926
Bohuslavice	20289
Bolatice	15837
Brumovice	45589
Březová	8865
Dolní Benešov	9893
Háj ve Slezsku	196109
Hlučín	0
Holasovice	50077
Hrabyně	158922
Hradec nad Moravicí	32037
Jakartovice	1645
Kravaře	3212
Litultovice	7612
Melč	876
Mokré Lazce	157786
Otice	6194
Raduň	151337
Slavkov	4239
Stěbořice	52476
Štěpánkovice	0
Štítina	155839
Velká Polom	200836
Velké Heraltice	47498
Velké Hoštice	1127
Vršovice	112281
Nové Lublice	21571
Chlebičov	0
Nová Pláň	16093
Kozmice	13949
Jezdkovice	52241
Velká Štáhle	10087
Dlouhá Stráň	518
Mezina	16757
Moravskoslezský Kočov	449
Staré Město	0
Valšov	15330
Horní Životice	519
Staré Heřminovy	827
Malá Štáhle	1065
Stará Ves	0
Andělská Hora	7145
Rudná pod Pradědem	0
Ludvíkov	5826
Čaková	1705
Mladecko	1493
Dolní Životice	3165
Hlavnice	51601
Bratříkovice	51447
Lhotka u Litultovic	2976
Neplachovice	49130
Branka u Opavy	150236
Nové Sedlice	155341
Kružberk	21317
Staré Těchanovice	21162
Děhylov	200126
Budišovice	157080
Mikolajice	2690
Radkov	20670
Štáblovice	1615
Uhlířov	8530
Moravice	1389
Milotice nad Opavou	8740
Nové Heřminovy	8079
Oborná	8350
Býkov-Láryšov	42118
Dobroslavice	199381
Chvalíkovice	111602
Bruntál	0
Bílčice	17331
Brantice	5149
Břidličná	11023
Dolní Moravice	677
Dvorce	271
Heřmanovice	0
Holčovice	0
Horní Benešov	43323
Hošťálkovy	4227
Karlova Studánka	5621
Karlovice	0
Krasov	4811
Krnov	17169
Křišťanovice	0
Leskovec nad Moravicí	1063
Lichnov	42271
Lomnice	15587
Malá Morávka	0
Město Albrechtice	715
Razová	0
Roudno	17126
Rýmařov	1718
Ryžoviště	10428
Sosnová	47089
Světlá Hora	0
Svobodné Heřmanice	0
Široká Niva	7522
Úvalno	41161
Václavov u Bruntálu	0
Vrbno pod Pradědem	348
Zátor	11141
